platform,subject,gad7-infreq,7u7d-infreq,bisbas-infreq,shaps-infreq,infreq,infreq-any,entropy,reliability,mahalanobis,gad7-rt,7u7d-rt,bisbas-rt,shaps-rt,reading,n_loops,accuracy,wsls,rt
prolific,3qz20dlryiffihwsltdnk6cn,0,0,0,0,0,0,4.424040078317122,0.1242562003968259,6.277045914265165,False,False,False,False,0,1,0.32222222222222224,-0.08939708939708926,0.35555555555555557
prolific,3yg7loing1p7y2bbmo5b777o,0,0,0,0,0,0,5.1720300604407585,0.11605654761904778,7.180967892380105,False,False,False,False,0,1,0.4,0.5193920335429769,0.05555555555555555
prolific,4558saz9j220kta4eyyti4lz,0,0,0,0,0,0,3.709561887361157,0.09357986111111107,6.108263963831765,False,False,False,False,0,1,0.6222222222222222,0.41025641025641035,0.03333333333333333
prolific,465libnx33ipciqmfy8yh88w,0,0,0,0,0,0,3.8154926288987383,0.09805580357142861,5.725614903440077,False,False,False,False,0,2,0.6444444444444445,0.31428571428571395,0.06666666666666667
prolific,4kfljupnt4llnjgshhe5xho5,0,0,0,0,0,0,4.72899331084267,0.1527579365079368,7.957624681819096,False,False,False,False,0,1,0.5666666666666667,0.2444444444444443,0.08888888888888889
prolific,4szus5mziv7x6mwgfpa0oiq8,0,0,0,0,0,0,3.055960658413401,0.1203447420634922,6.733965656337241,False,False,False,False,0,1,0.4222222222222222,0.5372448979591838,0.1
prolific,4vw992lb5egmeaykdxcetamb,0,0,0,0,0,0,3.7518866293408735,0.07482093253968264,7.573099011468767,False,False,False,False,0,1,0.4888888888888889,0.8431372549019611,0.2111111111111111
prolific,54j8pa9apq5tj4fkft6dso0v,0,0,0,0,0,0,4.647900203246224,0.10406175595238158,6.0848982936163045,False,False,False,False,0,1,0.7222222222222222,0.4661016949152545,0.06666666666666667
prolific,54ju60u1l79ogrexh490fh3s,0,1,0,0,1,1,3.219568123164954,0.0758333333333334,5.611578862271743,False,True,False,False,1,2,0.6555555555555556,0.934391534391534,0.28888888888888886
prolific,5a7qv48urh69t3za7xww81ue,0,0,0,0,0,0,4.0295027575097855,0.09548214285714324,6.939056197664777,False,False,False,False,0,1,0.5111111111111111,0.36268343815513643,0.24444444444444444
prolific,5m3nhzzzppo3vc3k6if20tnm,0,1,1,0,2,1,6.259761487048369,0.23616517857142874,9.028967897449245,False,False,False,False,0,7,0.4111111111111111,0.29725609756097554,0.1
prolific,5moe0thth6evd7ri4hpzlxwm,0,0,0,0,0,0,4.885563986440211,0.1439186507936511,6.556966490828884,False,False,False,False,0,1,0.5777777777777777,0.6957671957671958,0.3111111111111111
prolific,5tqi72vno74hjnv7elkchmn7,0,0,0,0,0,0,5.302582387516877,0.15026438492063507,7.821239653468054,False,False,False,False,0,1,0.5,0.5010101010101012,0.25555555555555554
prolific,5vlapy2kltynt6q6usdmw53x,0,0,0,0,0,0,6.198076543692192,0.15524429563492065,6.976026261358219,False,False,False,False,0,1,0.4222222222222222,0.4828282828282829,0.07777777777777778
prolific,65z4s3erqhtq0y32l4ud5c77,0,0,0,0,0,0,4.426346376194942,0.0942648809523811,6.095678978283754,False,False,False,False,0,1,0.7666666666666667,0.3571428571428572,0.13333333333333333
prolific,6ueltttfobtmc33ejn29z66s,0,0,0,0,0,0,3.504274631171037,0.11950099206349188,5.551213431820541,False,False,False,False,0,1,0.6555555555555556,0.6192513368983962,0.07777777777777778
prolific,77drfp2k71bu1i898kgrkloj,0,0,0,0,0,0,3.241836452697469,0.09093080357142873,7.284261257693705,False,False,False,False,0,1,0.6555555555555556,0.5025329280648431,0.15555555555555556
prolific,7ezim729gp6n5w6uep9hptuu,0,0,0,0,0,0,3.9754194714541393,0.13640550595238193,4.933885622114958,False,False,False,False,0,1,0.6222222222222222,0.5483367983367984,0.12222222222222222
prolific,7onu45df12zkrxfc750nn4sa,0,0,0,0,0,0,3.792142343643236,0.09113343253968231,6.125168260512059,False,False,False,False,0,1,0.5666666666666667,0.7091836734693876,0.022222222222222223
prolific,7sw6swyfiqm06ookrrxv1ejk,0,0,0,0,0,0,3.2898066675470328,0.08919543650793664,5.176701463840295,False,False,False,False,0,2,0.32222222222222224,0.3615819209039547,0.4
prolific,84vog25x6i4fgbjucffyhd5p,0,0,0,0,0,0,3.8874197921218685,0.10732118055555566,6.215223622609193,False,False,False,False,0,1,0.5111111111111111,0.3913043478260868,0.044444444444444446
prolific,8lfe345vgkvurp8du9sfe3cu,0,0,0,1,1,1,3.860467972090303,0.10096279761904788,6.729736417730974,False,False,False,False,0,1,0.7888888888888889,0.5579004329004328,0.03333333333333333
prolific,8p2ni1ijdad6gblaeiq7rgzi,0,0,0,0,0,0,5.1718767433880855,0.15076388888888917,8.340183984629716,False,False,False,False,0,1,0.7111111111111111,0.3548387096774192,0.03333333333333333
prolific,9k89ceqjj2pul71i5uhx7kt5,0,0,0,0,0,0,5.606958917661185,0.12546949404761948,6.205369356648129,False,False,False,False,0,2,0.7777777777777778,0.8666666666666669,0.32222222222222224
prolific,9kzs2lfi4bmyk5xz03ck58ne,0,0,0,0,0,0,5.752481927617941,0.14490749007936501,7.190255420699469,False,False,False,False,0,1,0.6222222222222222,0.8069518716577541,0.35555555555555557
