platform	subject	trial	choice	accuracy
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	25	0.9965	0.9965
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	26	0.996	0.996
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	27	0.271	0.3965
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	28	0.336	0.4015
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	29	0.4195	0.4195
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	30	0.945	0.945
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	31	0.9875	0.004
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	32	0.2925	0.312
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	33	0.2795	0.2795
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	34	0.93	0.93
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	35	0.98	0.98
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	36	0.991	0.991
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	37	0.9945	0.9945
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	38	0.994	0.994
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	39	0.9925	0.9925
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	40	0.363	0.368
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	41	0.9305	0.041
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	42	0.2885	0.4045
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	43	0.3945	0.3945
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	44	0.9325	0.9325
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	45	0.9855	0.9855
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	46	0.3495	0.3495
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	47	0.939	0.939
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	48	0.989	0.989
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	49	0.99	0.99
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	50	0.996	0.996
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	51	0.2685	0.3675
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	52	0.344	0.387
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	53	0.4065	0.4065
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	54	0.955	0.955
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	55	0.982	0.982
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	56	0.992	0.992
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	57	0.993	0.993
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	58	0.9965	0.9965
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	59	0.995	0.995
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	60	0.9955	0.9955
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	61	0.994	0.001
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	62	0.2875	0.2875
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	63	0.92	0.92
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	64	0.983	0.983
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	65	0.992	0.992
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	66	0.9935	0.9935
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	67	0.995	0.995
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	68	0.99	0.99
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	69	0.994	0.994
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	70	0.9935	0.9935
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	71	0.995	0.995
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	72	0.9945	0.9945
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	73	0.996	0.996
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	74	0.9945	0.9945
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	75	0.9955	0.9955
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	76	0.994	0.0025
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	77	0.994	0.0025
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	78	0.267	0.267
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	79	0.9145	0.9145
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	80	0.981	0.981
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	81	0.335	0.3085
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	82	0.3875	0.346
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	83	0.401	0.401
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	84	0.942	0.942
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	85	0.976	0.976
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	86	0.989	0.989
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	87	0.996	0.996
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	88	0.9965	0.9965
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	89	0.994	0.994
mturk	0a8zkiu9rpf0mxo0h9ecdyzh	90	0.994	0.994
mturk	0g4fx9g2wryeio74yzgqwpq8	1	0.327	0.3305
mturk	0g4fx9g2wryeio74yzgqwpq8	2	0.485	0.507
mturk	0g4fx9g2wryeio74yzgqwpq8	3	0.9745	0.9745
mturk	0g4fx9g2wryeio74yzgqwpq8	4	0.997	0.997
mturk	0g4fx9g2wryeio74yzgqwpq8	5	0.9995	0.9995
mturk	0g4fx9g2wryeio74yzgqwpq8	6	0.2375	0.5545
mturk	0g4fx9g2wryeio74yzgqwpq8	7	0.636	0.636
mturk	0g4fx9g2wryeio74yzgqwpq8	8	0.996	0.996
mturk	0g4fx9g2wryeio74yzgqwpq8	9	0.312	0.5495
mturk	0g4fx9g2wryeio74yzgqwpq8	10	0.6715	0.6715
mturk	0g4fx9g2wryeio74yzgqwpq8	11	0.996	0.996
mturk	0g4fx9g2wryeio74yzgqwpq8	12	0.999	0.999
mturk	0g4fx9g2wryeio74yzgqwpq8	13	0.9995	0.9995
mturk	0g4fx9g2wryeio74yzgqwpq8	14	0.1295	0.7465
mturk	0g4fx9g2wryeio74yzgqwpq8	15	0.7525	0.7525
mturk	0g4fx9g2wryeio74yzgqwpq8	16	0.997	0.003
mturk	0g4fx9g2wryeio74yzgqwpq8	17	0.149	0.149
mturk	0g4fx9g2wryeio74yzgqwpq8	18	0.9905	0.9905
mturk	0g4fx9g2wryeio74yzgqwpq8	19	0.9975	0.9975
mturk	0g4fx9g2wryeio74yzgqwpq8	20	0.999	0.999
mturk	0g4fx9g2wryeio74yzgqwpq8	21	0.999	0.999
mturk	0g4fx9g2wryeio74yzgqwpq8	22	0.356	0.5755
mturk	0g4fx9g2wryeio74yzgqwpq8	23	0.7545	0.7545
mturk	0g4fx9g2wryeio74yzgqwpq8	24	0.271	0.3875
mturk	0g4fx9g2wryeio74yzgqwpq8	25	0.3765	0.3765
mturk	0g4fx9g2wryeio74yzgqwpq8	26	0.998	0.998
mturk	0g4fx9g2wryeio74yzgqwpq8	27	0.9995	0.9995
mturk	0g4fx9g2wryeio74yzgqwpq8	28	0.9995	0.9995
mturk	0g4fx9g2wryeio74yzgqwpq8	29	0.1435	0.731
mturk	0g4fx9g2wryeio74yzgqwpq8	30	0.1115	0.769
mturk	0g4fx9g2wryeio74yzgqwpq8	31	0.7675	0.1145
