platform,subject,block,trial,correct,choice,key,rt,accuracy,outcome
mturk,02rwq76tp9lcye8vrl41llnh,4,57,0,2.0,39.0,0.795,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,4,58,0,1.0,38.0,0.748,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,4,59,0,1.0,38.0,0.328,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,4,60,0,0.0,37.0,0.544,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,5,61,2,0.0,37.0,0.261,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,5,62,2,1.0,38.0,0.387,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,5,63,2,1.0,38.0,0.686,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,5,64,2,2.0,39.0,0.488,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,5,65,2,1.0,38.0,0.425,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,5,66,2,2.0,39.0,0.505,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,5,67,2,2.0,39.0,0.296,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,5,68,2,2.0,39.0,0.309,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,5,69,2,2.0,39.0,0.702,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,5,70,2,2.0,39.0,0.35,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,5,71,2,2.0,39.0,0.425,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,5,72,2,2.0,39.0,0.394,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,5,73,2,1.0,38.0,0.231,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,5,74,2,2.0,39.0,0.692,1.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,5,75,2,2.0,39.0,0.282,1.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,6,76,0,2.0,39.0,0.604,0.0,0.0
mturk,02rwq76tp9lcye8vrl41llnh,6,77,0,2.0,39.0,5.352,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,6,78,0,2.0,39.0,0.58,0.0,1.0
mturk,02rwq76tp9lcye8vrl41llnh,6,79,0,2.0,39.0,0.629,0.0,0.0
