platform,subject,accuracy,points,ws,ls,perseveration,beta,eta_p,eta_n,kappa
mturk,3xzn2gdh051u5slem3dme6y4,0.6333333333333333,47.0,1.0,0.7441860465116279,0.18666666666666668,11.12915,0.7715805,0.923403,-0.08957166839677198
mturk,48kl2yj4bk3oit3lc8y2c8qf,0.4111111111111111,39.0,0.28205128205128205,0.8200000000000001,0.44,-9.512845,0.0009973725,0.4542195,-0.995618033687888
mturk,49siubkt857w9wa5ym6zyrss,0.5444444444444444,50.0,0.9387755102040817,0.975,0.18666666666666668,5.196664999999999,0.40434899999999996,0.9489209999999999,-0.40241193553392895
mturk,5ia4n00eepgph445l075pzvt,0.6555555555555556,56.0,0.9636363636363636,0.38235294117647056,0.2,6.710575,0.4654805,0.588457,-0.11668291525825772
mturk,5lukl1r5qtcpaaxcy1z4k2pb,0.6666666666666666,52.0,0.9615384615384616,0.5135135135135135,0.2,11.66765,0.320986,0.767697,-0.4103223803439568
mturk,5sg7gnocyd7oke5w09iyjmkw,0.4222222222222222,40.0,0.3333333333333333,0.84,0.4666666666666667,3.0532250000000003,0.7004595,0.1606675,0.6268436595298952
mturk,5vfsoys60vdnkpwg6eycknxs,0.7444444444444445,60.0,1.0,0.33333333333333337,0.18666666666666668,8.508154999999999,0.8431445,0.5021515,0.2534706116720781
mturk,6anblbfay00uf1lrjuvta75s,0.6111111111111112,51.0,0.96,0.7692307692307692,0.16,2.9227100000000004,0.872681,0.9672375,-0.051391678490107
mturk,6ddzcn9af3ba6dv3c91n5enx,0.4444444444444444,41.0,0.675,0.7959183673469388,0.36,1.80374,0.833259,0.7719689999999999,0.03818149197497182
mturk,6ebn8yjdbepfbi3vshim0fa4,0.4444444444444444,51.0,0.45098039215686275,0.8421052631578947,0.24,1.216315,0.844805,0.704691,0.09042553191489366
mturk,6g0smxt28qc8rof31hj311l7,0.6777777777777778,50.0,0.98,0.5641025641025641,0.18666666666666668,7.553755,0.523598,0.927257,-0.27822146251692964
mturk,6kf2nrcsp1vlkc4ognfrvlg6,0.5555555555555556,47.0,0.9130434782608695,0.7209302325581395,0.14666666666666667,5.46649,0.2597695,0.9901565,-0.5843441931762361
mturk,6o83uqmv0frbft9n0ojoh68u,0.4666666666666667,42.0,0.47619047619047616,0.9574468085106383,0.26666666666666666,4.2537,0.06305440000000001,0.7262565000000001,-0.8402292430017121
mturk,6tsrpsayz54lw11oc7xqro8j,0.5111111111111111,40.0,0.7948717948717948,0.84,0.25333333333333335,2.9773050000000003,0.6446164999999999,0.9755689999999999,-0.2042682766880706
mturk,6u3el0wrisrdbl98ibq0opof,0.6,49.0,0.9591836734693877,0.975,0.21333333333333335,4.83417,0.746631,0.957435,-0.1237064761576136
mturk,6xcrpdfmw33oggfcpop84jjc,0.6,57.0,1.0,0.36363636363636365,0.29333333333333333,18.2876,0.8072630000000001,0.751935,0.03548490954965312
mturk,71r198qbputz56vycr57vwrj,0.6111111111111112,49.0,1.0,0.55,0.24,7.669575,0.7744960000000001,0.3918795,0.3280388691291956
mturk,79wkgbbalgknlalvcbuej04n,0.37777777777777777,31.0,1.0,0.3448275862068966,0.3466666666666667,4.46481,0.9267529999999999,0.9140975,0.006874811398318294
mturk,7c2n6irhszcuommpxijsqo0m,0.5,46.0,0.6444444444444445,0.9318181818181819,0.26666666666666666,1.7252049999999999,0.7678415000000001,0.903985,-0.08143398851495652
mturk,8268uvon5c4wg6cqy7jsgya1,0.7555555555555555,58.0,1.0,0.46875,0.18666666666666668,16.997500000000002,0.5237005,0.6982695,-0.14285866265129257
mturk,8bis5casr4mjnn033kaxc4a9,0.8111111111111111,61.0,1.0,0.4482758620689655,0.13333333333333333,8.429875,0.877888,0.4973365,0.27671954651767766
mturk,8gms1x5mpu3zq71ytb9tjrss,0.5666666666666667,54.0,1.0,0.5,0.37333333333333335,15.437249999999999,0.33938500000000005,0.5665155,-0.25072345141657376
mturk,8jsbtrhsjtr1f1g26cw3ybge,0.3333333333333333,37.0,0.13513513513513514,0.9230769230769231,0.3333333333333333,7.209065,0.00505264,0.6979595000000001,-0.9856257389808374
mturk,8mn0ti7z45rkqyclbp3bkuox,0.6111111111111112,53.0,1.0,0.43243243243243246,0.2,14.2709,0.89707,0.7861,0.06592916936494829
