platform,subject,infreq_mania,infreq_depression,infreq_anxiety,infreq_artistic,infreq_greed,infreq,isd,reliability,mahalanobis,mania_rt,depression_rt,anxiety_rt,artistic_rt,greed_rt,survey_rt,side_var,choice_var,wsls,task_rt
mturk,8ehs3ohffbjv8gjqgptt9d1t,0,0,0,0,0,0,3.500794860888381,0.9699659032132427,5.998830456886893,7.60825,6.29475,3.06625,2.189,2.706857142857143,21.86510714285714,0.027363184079602032,0.19154228855721395,0.18076688983566655,0.005025125628140704
mturk,8h48j37z89ct17rp42osqxge,0,0,0,0,0,0,4.065605146195042,0.9520109363325173,6.037336426884805,7.583,8.455125,2.28825,2.791571428571429,3.367142857142857,24.485089285714288,0.13681592039800994,0.002487562189054715,0.3116619260463227,0.16834170854271358
mturk,8map1iet5ddnonpumqe7o9av,0,0,0,0,0,0,3.6132654089366323,0.9376204356358364,6.488147850571078,3.9945,3.21825,2.184125,2.1324285714285716,2.147,13.676303571428571,0.007462686567164201,0.01243781094527363,0.5138546798029556,0.007537688442211055
mturk,8npip6bkhytavwzz40v9xr3n,0,0,0,0,0,0,2.76373028757376,0.937186036333797,4.822216150090659,6.68675,12.155,3.504,4.497142857142857,3.7841428571428573,30.627035714285714,0.05223880597014924,0.12686567164179102,0.09728964401294488,0.0
mturk,8r3zvypk0bnvql2q8ow7kcb0,0,0,0,0,0,0,4.534214971861599,0.933052313741635,6.554996726475822,4.031,10.429375,14.616375,1.5477142857142856,14.340857142857143,44.96532142857143,0.052238805970149294,0.007462686567164201,0.04320607553366164,0.6306532663316583
mturk,932nd2fkjzq8o1uvi0s0r6vw,0,0,0,0,0,0,2.008695631937178,0.991594781195599,3.757466526691564,5.06975,3.53775,1.6335,1.8030000000000002,1.885142857142857,13.929142857142857,0.10696517412935325,0.022388059701492546,0.4352525252525251,0.0
mturk,9kppcbxt5yd74k68o9ojna5l,1,0,0,0,0,1,2.6685926790610615,0.987651053371897,6.248032336668806,5.0025,3.334625,1.880375,1.9342857142857142,2.537714285714286,14.6895,0.11194029850746268,0.007462686567164201,0.006523955147808314,0.03015075376884422
mturk,9lj76u5t16q8p5em57ghbd3m,0,0,0,0,0,0,3.733730044094533,0.547826223621423,6.139960204542914,7.057,4.1735,3.283125,2.955714285714286,3.204285714285714,20.673624999999998,0.43532338308457713,0.03233830845771146,0.2177518427518425,0.5100502512562815
mturk,9pvy5dx33eiw5s376mkqah3w,1,0,0,0,0,1,1.8269165859706291,0.9911344518694355,3.7539925422746228,24.557,13.902625,6.751125,8.877571428571429,5.999857142857143,60.08817857142858,0.027363184079601977,0.10696517412935325,0.5203201970443352,0.0
mturk,9sofaz55jn70p37kkyrwfs7h,0,0,0,0,0,0,2.972327808340624,0.9558788977894752,3.377269343132802,6.2465,5.4975,2.353875,2.737142857142857,2.721285714285714,19.556303571428572,0.022388059701492546,0.2512437810945274,0.3663748175943299,0.0
mturk,9triih2u2jyp9z4it4nztit8,1,0,0,0,0,1,5.094245095225866,0.8930071481063452,6.574538576421482,6.82625,3.657625,1.823375,3.4528571428571433,3.0207142857142855,18.78082142857143,0.01741293532338306,0.07711442786069655,0.12966360856269107,0.04271356783919598
mturk,9u9iluu4er47b16ydcetlrri,0,0,0,0,0,0,3.403256112652447,0.9768831870014527,5.36165710253637,11.697875,5.182125,4.473375,3.4875714285714285,3.966,28.80694642857143,0.0920398009950249,0.01741293532338306,0.4277108433734942,0.01256281407035176
mturk,9xmesfr8fle9kunau40wmoev,0,0,0,0,0,0,3.008014295676854,0.8588149282947269,4.676502611440094,10.793875,5.9715,4.5105,4.148285714285715,2.9202857142857144,28.344446428571427,0.01741293532338306,0.09203980099502485,0.27154126213592256,0.0
mturk,a0v3jzo92of3zjvwoeo6vmpg,0,0,0,0,0,0,2.025015815618727,0.9913668563936288,4.949726116863175,6.034375,3.607,2.608375,2.2435714285714288,2.4057142857142857,16.899035714285716,0.03233830845771146,0.057213930348258724,0.25641025641025667,0.0
mturk,a67jyfn6po846n718npgj607,0,0,0,0,0,0,1.5833951514845988,0.9961143516428499,3.6243966843091227,19.42125,8.390375,9.572125,6.395142857142857,6.866428571428571,50.64532142857143,0.01243781094527363,0.01741293532338306,0.27867494824016564,0.0
mturk,aolor455qvlnq3vmcb974ps5,1,1,0,0,0,2,4.184454177624416,0.8516451101647143,7.965717795847027,8.069875,1.423,4.211,3.432714285714286,1.8538571428571429,18.99044642857143,0.02238805970149249,0.022388059701492546,-0.016202742002492825,0.6256281407035176
mturk,avfujzgtegxt24dd8f2chcnc,0,0,0,0,0,0,4.970445883172708,0.876280427236068,6.357950325276831,5.783,4.51275,2.031375,1.7611428571428571,2.84,16.928267857142856,0.03731343283582089,0.02238805970149249,0.2565883554647599,0.007537688442211055
mturk,aws11s2jo537qnscvnb30a3v,0,0,0,0,0,0,3.212127939385967,0.9678365883241835,6.390930964379948,4.53075,3.6695,2.040375,1.7754285714285716,2.623285714285714,14.639339285714287,0.01243781094527363,0.12189054726368159,0.3264573070607553,0.06281407035175879
mturk,ax7h5iawpe2fevn24tagkpkc,0,0,0,0,0,0,4.757080579200011,0.8809311991404857,6.228042192437325,17.818875,17.434,5.988,4.126571428571428,7.783571428571428,53.15101785714286,0.01243781094527363,0.40049751243781095,0.3805363673303538,0.002512562814070352
mturk,b4i8xjo1y67ver8ih3m9d06n,0,0,0,0,0,0,3.247168491325927,0.9478407048594082,4.834507918617336,7.973125,6.52675,2.379,3.282285714285714,3.7425714285714284,23.90373214285714,0.027363184079601977,0.027363184079601977,0.5519296827641947,0.0
mturk,beqcc6ncidwpngxy9blbmwwg,0,0,0,0,0,0,1.9766072938335646,0.9922861200186434,3.7143168238516697,8.906375,12.45475,4.963125,2.514,2.629714285714286,31.467964285714285,0.04726368159203981,0.16666666666666669,0.5560275080906152,0.0
mturk,bk21s6rw0enc8kqvq5g55f1d,1,1,0,0,0,2,2.4364828160228167,0.9666677531286113,5.889852619872615,7.1025,2.295,1.727875,2.601714285714286,3.2607142857142857,16.98780357142857,0.06716417910447764,0.0771144278606965,0.09752804320731207,0.1407035175879397
mturk,c7x9th55z7scxc7v94r3frmq,0,0,0,0,0,0,3.694138605881512,0.9076079059183746,4.442094285155703,5.147875,3.300625,2.9645,2.6517142857142857,2.822,16.886714285714287,0.04726368159203975,0.10199004975124382,0.16212921576594894,0.0
mturk,cfs7l0pcmq8ocktzfwwr5s1k,0,0,0,0,1,1,3.6562712262467287,0.8796018835409971,5.800644839396652,3.223125,2.88075,1.473625,1.542,1.3711428571428572,10.490642857142857,0.08208955223880599,0.01243781094527363,0.3136288998357964,0.017587939698492462
mturk,cgnuq1quygnikvf0tmld80gx,0,0,0,0,0,0,4.058348406007154,0.818641352325952,6.522272174012872,64.431875,27.146375,1.410625,5.0161428571428575,2.411142857142857,100.41616071428571,0.02238805970149249,0.01243781094527363,0.3133540372670809,0.002512562814070352
mturk,cjlkgbnhyrvwabk5u104j2ni,0,0,0,0,0,0,2.382740251544262,0.9878503367620928,3.862546298736735,9.82475,7.29975,2.9035,2.363,4.472857142857142,26.863857142857142,0.03233830845771146,0.08208955223880599,0.2586206896551725,0.0
mturk,cjy6pckoe7elutfjvjspz899,0,0,0,0,0,0,2.204881058979857,0.9853105040612644,3.92615866997372,9.9325,6.13975,3.98125,3.604,3.2199999999999998,26.877499999999998,0.15671641791044777,0.007462686567164201,0.4460483210483212,0.0
mturk,cl0hfgf11jot3ikjnsruivcz,0,0,0,0,0,0,4.589828724401251,0.9317043177834183,7.235495956463214,6.50925,4.5185,2.499375,2.3278571428571433,3.4817142857142858,19.33669642857143,0.04228855721393032,0.14179104477611942,0.32145748987854217,0.0
mturk,cszj0l6uqdkurp4dmbcw8fwi,1,0,0,0,0,1,6.4147434864901465,0.7641814686249782,10.853950336637226,2.858,2.681125,2.316875,2.0291428571428574,3.041714285714286,12.926857142857141,0.03731343283582089,0.04726368159203981,0.1825099020220973,0.27638190954773867
mturk,cv17bxobn4cdhrgotg3ap1aw,0,0,0,0,0,0,2.250754475595012,0.9821674942580046,5.208038322285139,8.258375,4.80775,2.31525,2.6732857142857145,3.2635714285714283,21.31823214285714,0.04228855721393032,0.17661691542288555,0.21458880581935755,0.0
mturk,dj19ieorj50cs6dperszsw5j,0,0,0,0,0,0,3.058852335163579,0.9643944572717535,5.270477962474246,5.37,11.32,11.176125,1.6128571428571428,3.1108571428571428,32.58983928571429,0.10696517412935325,0.007462686567164201,0.37356674856674843,0.12311557788944724
mturk,djqa2e4nnihalyvpo44hkx1x,1,1,1,0,0,3,4.805249508088071,0.8337309513346858,7.909252464867202,2.56925,1.775375,2.490375,1.5191428571428571,2.369428571428571,10.723571428571427,0.027363184079601977,0.002487562189054715,-0.11704063068526371,0.9120603015075377
