platform,subject,trial,correct,choice,key,rt,accuracy,outcome
mturk,0k1tzkzdb7dvx6z9q0nyovde,24,0,0.0,37.0,0.292,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,25,0,0.0,37.0,0.292,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,26,0,0.0,37.0,0.284,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,27,0,0.0,37.0,0.258,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,28,0,0.0,37.0,0.323,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,29,0,0.0,37.0,0.3,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,30,0,0.0,37.0,0.299,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,31,2,0.0,37.0,0.267,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,32,2,0.0,37.0,0.268,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,33,2,0.0,37.0,0.244,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,34,2,1.0,38.0,0.211,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,35,2,1.0,38.0,0.268,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,36,2,2.0,39.0,0.284,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,37,2,2.0,39.0,0.308,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,38,2,2.0,39.0,0.316,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,39,2,2.0,39.0,0.243,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,40,2,2.0,39.0,0.252,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,41,2,2.0,39.0,0.276,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,42,2,2.0,39.0,0.291,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,43,2,2.0,39.0,0.268,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,44,2,2.0,39.0,0.274,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,45,2,2.0,39.0,0.276,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,46,1,2.0,39.0,0.268,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,47,1,2.0,39.0,0.236,0.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,48,1,2.0,39.0,0.244,0.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,49,1,2.0,39.0,0.268,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,50,1,2.0,39.0,0.228,0.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,51,1,1.0,38.0,0.651,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,52,1,1.0,38.0,0.268,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,53,1,1.0,38.0,0.284,1.0,1.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,54,1,1.0,38.0,0.284,1.0,0.0
mturk,0k1tzkzdb7dvx6z9q0nyovde,55,1,1.0,38.0,0.276,1.0,1.0
